Rank,StartTime,Flgs,Dur,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,Cause,SrcPkts,DstPkts,SrcBytes,DstBytes,PCRatio,SrcLoad,DstLoad,SrcLoss,DstLoss,SrcRetra,DstRetra,SrcGap,DstGap,SIntPkt,DIntPkt,SrcJitter,DstJitter,State,SrcWin,DstWin
3010,1483144028.547013, e        ,4.078626,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0xbea2,0x63b8,Status,20,10,1210,725,-0.174603,2255.661621,1280.823486,0,0,0,0,0,0,249.978953,499.962094,387.333438,443.191625,CON,1868800,2048
3011,1483144028.568681, e        ,4.999689,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0x08fa,0xce76,Status,11,5,664,330,0.076923,966.460083,422.426270,0,0,0,0,0,0,456.542625,999.959375,475.964406,0.386374,CON,1868800,2048
3012,1483144033.547022, e        ,4.999988,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0xd3a2,0x6db8,Status,21,10,1278,725,-0.124620,1948.804688,1044.802490,0,0,0,0,0,0,281.970062,500.114312,404.165000,443.095844,CON,1868800,2048
3013,1483144034.546412, e        ,4.999982,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0x13fa,0xd376,Status,11,5,678,330,0.166667,987.203552,422.401520,0,0,0,0,0,0,543.456750,1000.024188,475.908437,0.301967,CON,1868800,2048
3014,1483144038.569490, e        ,4.998905,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0xe7a2,0x78b8,Status,20,11,1210,791,-0.204893,1840.402954,1152.252319,0,0,0,0,0,0,250.001953,540.176000,387.410438,441.140875,CON,1868800,2048
3015,1483144039.568372, e        ,4.978097,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0x1dfa,0xd876,Status,10,5,610,330,0.076923,882.264832,424.258514,0,0,0,0,0,0,500.007500,1000.044188,477.837812,0.224453,CON,1868800,2048
3016,1483144043.569219, e        ,4.977966,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0xfba2,0x81b8,Status,20,9,1210,659,-0.141914,1848.144409,941.750122,0,0,0,0,0,0,250.006797,450.871125,387.384094,440.351531,CON,1868800,2048
3017,1483144044.568538, e        ,4.977987,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0x27fa,0xdd76,Status,10,5,610,330,0.076923,882.284363,424.267883,0,0,0,0,0,0,500.005594,999.995375,477.983656,0.294465,CON,1868800,2048
3018,1483144048.569572, e        ,4.977561,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x0fa3,0x8bb8,Status,20,10,1210,725,-0.174603,1848.294800,1049.510010,0,0,0,0,0,0,249.997406,500.023312,387.363250,443.171781,CON,1868800,2048
3019,1483144049.568609, e        ,4.977781,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0x31fa,0xe276,Status,10,5,610,330,0.076923,882.320862,424.285461,0,0,0,0,0,0,499.986500,1000.032000,477.929156,0.279671,CON,1868800,2048
3020,1483144053.569705, e        ,4.999149,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x24a3,0x96b8,Status,21,11,1264,791,-0.204893,1926.728027,1152.196167,0,0,0,0,0,0,239.129578,540.191812,381.283313,441.628562,CON,1868800,2048
3021,1483144054.568688, e        ,4.977797,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0x3bfa,0xe776,Status,10,5,610,330,0.076923,882.317993,424.284088,0,0,0,0,0,0,500.009500,999.872000,477.982531,0.034670,CON,1868800,2048
3022,1483144058.606385, e        ,4.962841,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x38a3,0xa0b8,Status,20,10,1210,725,-0.174603,1853.776855,1052.622925,0,0,0,0,0,0,250.018594,500.039000,387.343000,443.024219,CON,1868800,2048
3023,1483144059.568871, e        ,4.999443,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0x46fa,0xed76,Status,11,6,664,396,-0.014085,966.507629,528.058838,0,0,0,0,0,0,456.529906,1000.005312,475.882656,0.296690,CON,1868800,2048
3024,1483144063.606393, e        ,4.966308,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x4ca3,0xaab8,Status,20,10,1210,725,-0.174603,1852.482666,1051.888062,0,0,0,0,0,0,250.173750,500.339906,387.658844,443.437281,CON,1868800,2048
3025,1483144065.546397, e        ,4.022753,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0x50fa,0xf276,Status,10,5,610,330,0.076923,1091.789673,525.013611,0,0,0,0,0,0,500.083594,1000.008000,477.750094,2.086887,CON,1868800,2048
3026,1483144068.606404, e        ,4.962730,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x60a3,0xb4b8,Status,20,10,1210,725,-0.174603,1853.818359,1052.646484,0,0,0,0,0,0,249.821656,499.592594,387.198344,443.211844,CON,1868800,2048
3027,1483144070.546410, e        ,4.999999,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0x5bfa,0xf776,Status,11,5,678,330,0.166667,987.200195,422.400085,0,0,0,0,0,0,543.387187,999.999625,475.884625,0.295584,CON,1868800,2048
3028,1483144073.606404, e        ,4.962840,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x74a3,0xbeb8,Status,20,10,1210,725,-0.174603,1853.777222,1052.623047,0,0,0,0,0,0,250.005500,500.064813,387.292469,443.116219,CON,1868800,2048
3029,1483144075.568367, e        ,4.999626,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0x65fa,0xfd76,Status,10,6,610,396,-0.014085,878.465698,528.039490,0,0,0,0,0,0,500.001000,1000.006000,477.838656,0.228300,CON,1868800,2048
3030,1483144078.606409, e        ,4.963045,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x88a3,0xc8b8,Status,20,10,1210,725,-0.174603,1853.700684,1052.579590,0,0,0,0,0,0,250.010500,500.024313,387.411500,443.136250,CON,1868800,2048
