Variable,Value,NX,NXc,NX'c,Nc,N'c,N,P(C),P('C),P(C|X),P(X|C),Epsilon,Score
DstLoad,042,3,1,2,823,2238,3061,.26886638353479255145,.73113361646520744855,0.333333,0.00121507,0.251844,-0.337436
DstLoad,029,57,24,33,823,2238,3061,.26886638353479255145,.73113361646520744855,0.421053,0.0291616,2.59147,0.623584
DstLoad,036,8,6,2,823,2238,3061,.26886638353479255145,.73113361646520744855,0.75,0.0072904,3.06933,1.41241
DstLoad,043,2,1,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0.5,0.00121507,0.737244,-0.0497541
DstLoad,037,11,5,6,823,2238,3061,.26886638353479255145,.73113361646520744855,0.454545,0.00607533,1.38897,0.539048
DstLoad,038,14,12,2,823,2238,3061,.26886638353479255145,.73113361646520744855,0.857143,0.0145808,4.96454,2.10152
DstLoad,039,2,1,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0.5,0.00121507,0.737244,-0.0497541
DstLoad,000,1,0,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.606415,-3.0955
SrcLoss,000,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
DstLoss,000,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
SrcRetra,0,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
DstRetra,0,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
SrcGap,000,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
DstGap,000,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
SIntPkt,003,272,270,2,823,2238,3061,.26886638353479255145,.73113361646520744855,0.992647,0.328068,26.9231,5.21221
SIntPkt,004,523,58,465,823,2238,3061,.26886638353479255145,.73113361646520744855,0.110899,0.0704739,-8.14803,-1.08131
SIntPkt,005,852,204,648,823,2238,3061,.26886638353479255145,.73113361646520744855,0.239437,0.247874,-1.93749,-0.158372
SIntPkt,000,1,0,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.606415,-1.19838
SIntPkt,001,13,12,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0.923077,0.0145808,5.32013,2.41254
SIntPkt,002,1400,279,1121,823,2238,3061,.26886638353479255145,.73113361646520744855,0.199286,0.339004,-5.872,-0.392505
DIntPkt,010,453,0,453,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-12.9068,-6.62553
DIntPkt,003,84,53,31,823,2238,3061,.26886638353479255145,.73113361646520744855,0.630952,0.0643985,7.48488,1.47682
DIntPkt,004,286,0,286,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-10.2554,-6.16819
DIntPkt,005,388,0,388,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-11.945,-6.47138
DIntPkt,007,2,0,2,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.8576,-1.89152
DIntPkt,008,2,0,2,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.8576,-1.89152
DIntPkt,009,270,0,270,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-9.96441,-6.11103
DIntPkt,001,563,347,216,823,2238,3061,.26886638353479255145,.73113361646520744855,0.616341,0.421628,18.5956,1.46432
DIntPkt,002,1013,423,590,823,2238,3061,.26886638353479255145,.73113361646520744855,0.417572,0.513973,10.6749,0.663239,
SrcJitter,003,1184,105,1079,823,2238,3061,.26886638353479255145,.73113361646520744855,0.0886824,0.127582,-13.9838,-1.32808
SrcJitter,004,1875,718,1157,823,2238,3061,.26886638353479255145,.73113361646520744855,0.382933,0.872418,11.1402,0.520701
SrcJitter,006,1,0,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.606415,-0.50523
SrcJitter,000,1,0,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.606415,-0.792912
DstJitter,003,584,291,293,823,2238,3061,.26886638353479255145,.73113361646520744855,0.498288,0.353584,12.5047,0.98634
DstJitter,004,704,18,686,823,2238,3061,.26886638353479255145,.73113361646520744855,0.0255682,0.0218712,-14.5599,-2.62622
DstJitter,005,1,0,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.606415,-1.19838
DstJitter,000,723,0,723,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-16.3057,-6.68594
DstJitter,001,28,13,15,823,2238,3061,.26886638353479255145,.73113361646520744855,0.464286,0.0157959,2.33228,0.755902
DstJitter,002,1021,501,520,823,2238,3061,.26886638353479255145,.73113361646520744855,0.490695,0.608748,15.9869,0.958451
State,01,3058,821,2237,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268476,0.99757,-0.0486744,-0.00319646
State,02,3,2,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0.666667,0.00243013,1.55403,0.998848
SrcWin,01,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
