Flgs,Dur,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,Cause,SrcPkts,DstPkts,SrcBytes,DstBytes,PCRatio,SrcLoad,DstLoad,SrcLoss,DstLoss,SrcRetra,DstRetra,SrcGap,DstGap,SIntPkt,DIntPkt,SrcJitter,DstJitter,State,SrcWin,DstWin,Anomaly
01,49,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,09,06,02,00002,04,006,012,09,009,019,000,000,0,0,000,000,004,002,004,003,01,01,04,0
01,40,3232235842,3232235896,01,53741,502,0,0,01,01,64,128,0,0,09,11,02,00004,02,012,007,08,022,012,000,000,0,0,000,000,002,004,003,004,01,01,04,0
01,43,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,13,05,02,00004,04,013,014,10,023,025,000,000,0,0,000,000,002,002,003,003,01,01,04,1
01,49,3232235842,3232235896,01,53741,502,0,0,01,01,64,128,0,0,02,01,02,00004,01,012,006,08,018,009,000,000,0,0,000,000,002,004,003,004,01,01,04,0
01,49,3232235842,3232235896,01,53741,502,0,0,01,01,64,128,0,0,00,05,02,00004,05,012,016,08,018,026,000,000,0,0,000,000,002,001,003,002,01,01,04,0
01,47,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,05,01,02,00002,03,007,010,10,011,016,000,000,0,0,000,000,004,003,004,002,01,01,04,1
01,41,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,09,02,02,00004,02,012,007,08,022,012,000,000,0,0,000,000,002,004,003,004,01,01,04,0
01,49,3232235842,3232235896,01,53741,502,0,0,01,01,64,128,0,0,02,03,02,00004,04,012,014,08,018,022,000,000,0,0,000,000,002,002,003,003,01,01,03,0
01,49,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,10,08,02,00002,01,006,003,10,008,004,000,000,0,0,000,000,004,009,004,000,01,01,04,0
01,48,3232235842,3232235896,01,53741,502,0,0,01,01,64,128,0,0,08,00,02,00003,06,011,019,10,018,031,000,000,0,0,000,000,002,001,004,002,01,01,04,1
01,49,3232235842,3232235896,01,53741,502,0,0,01,01,64,128,0,0,04,09,02,00004,06,012,021,08,019,032,000,000,0,0,000,000,002,001,004,002,01,01,04,0
01,48,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,00,12,02,00002,05,006,015,10,009,025,000,000,0,0,000,000,005,002,004,003,01,01,04,1
01,42,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,09,07,02,00004,04,012,013,08,021,023,000,000,0,0,000,000,002,002,003,003,01,01,04,0
01,45,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,08,01,02,00004,04,012,013,10,020,022,000,000,0,0,000,000,002,002,004,002,01,01,04,1
01,49,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,02,04,02,00002,01,006,003,11,009,004,000,000,0,0,000,000,005,009,004,000,01,01,04,0
01,49,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,07,01,02,00004,02,012,007,08,019,010,000,000,0,0,000,000,002,005,003,004,01,01,04,0
01,49,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,10,01,02,00003,04,011,013,10,017,021,000,000,0,0,000,000,002,002,004,002,01,01,04,1
01,45,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,03,10,02,00005,06,018,019,10,031,032,000,000,0,0,000,000,001,001,003,002,01,01,04,1
